counts,month,day,hour,minute
44,11,26,8,32
38,11,26,8,33
48,11,26,8,35
33,11,26,9,5
49,11,26,9,10
31,11,26,9,15
39,11,26,9,20
36,11,26,9,25
27,11,26,9,30
36,11,26,9,35
35,11,26,11,5
44,11,26,11,10
45,11,26,11,15
38,11,26,11,20
30,11,26,11,25
43,11,26,11,30
39,11,26,11,35
52,11,26,11,40
38,11,26,11,45
40,11,26,11,50
28,11,26,11,55
46,11,26,12,0
43,11,26,12,5
64,11,26,12,30
52,11,26,12,35
69,11,26,12,40
78,11,26,12,45
50,11,26,12,50
63,11,26,12,55
55,11,26,13,15
88,11,26,13,35
102,11,26,13,40
95,11,26,13,45
83,11,26,13,50
96,11,26,13,55
69,11,26,14,0
94,11,26,14,5
97,11,26,14,10
114,11,26,14,15
100,11,26,14,20
84,11,26,14,25
96,11,26,14,30
104,11,26,14,35
92,11,26,14,40
116,11,26,14,45
101,11,26,14,50
120,11,26,14,55
114,11,26,15,0
97,11,26,15,5
96,11,26,15,10
96,11,26,15,15
105,11,26,15,20
102,11,26,15,25
127,11,26,15,30
98,11,26,15,35
106,11,26,15,40
139,11,26,15,45
91,11,26,15,50
117,11,26,15,55
137,11,26,16,0
117,11,26,16,5
120,11,26,16,10
122,11,26,16,15
111,11,26,16,20
133,11,26,16,25
131,11,26,16,30
106,11,26,16,35
139,11,26,16,40
130,11,26,16,45
130,11,26,16,50
111,11,26,16,55
146,11,26,17,0
127,11,26,17,5
135,11,26,17,10
145,11,26,17,15
98,11,26,17,20
137,11,26,17,25
144,11,26,17,30
133,11,26,17,35
119,11,26,17,40
147,11,26,17,45
145,11,26,17,50
164,11,26,17,55
133,11,26,18,0
114,11,26,18,5
140,11,26,18,10
107,11,26,18,15
106,11,26,18,50
116,11,26,18,55
133,11,26,19,0
108,11,26,19,5
131,11,26,19,10
128,11,26,19,15
126,11,26,19,20
112,11,26,19,25
127,11,26,19,30
106,11,26,19,35
134,11,26,19,40
133,11,26,19,45
141,11,26,19,50
140,11,26,19,55
136,11,26,20,0
118,11,26,20,5
120,11,26,20,10
115,11,26,20,15
127,11,26,20,20
119,11,26,20,55
159,11,26,21,0
120,11,26,21,11
164,11,26,21,15
171,11,26,21,20
163,11,26,21,25
148,11,26,21,30
151,11,26,21,35
159,11,26,21,40
177,11,26,21,45
161,11,26,21,50
147,11,26,21,55
121,11,26,22,0
131,11,26,22,5
147,11,26,22,10
168,11,26,22,15
162,11,26,22,20
150,11,26,22,25
151,11,26,22,30
152,11,26,22,35
151,11,26,22,40
163,11,26,22,45
152,11,26,22,50
176,11,26,22,55
146,11,26,23,0
154,11,26,23,5
139,11,26,23,10
144,11,26,23,15
160,11,26,23,20
151,11,26,23,25
135,11,26,23,30
147,11,26,23,35
139,11,26,23,40
137,11,26,23,45
159,11,26,23,50
145,11,26,23,55
174,11,27,0,0
139,11,27,0,5
158,11,27,0,10
144,11,27,0,15
143,11,27,0,20
147,11,27,0,25
163,11,27,0,30
159,11,27,0,35
135,11,27,0,40
138,11,27,0,45
144,11,27,0,50
137,11,27,0,55
154,11,27,1,0
149,11,27,1,5
162,11,27,1,10
165,11,27,1,15
173,11,27,1,20
131,11,27,1,25
169,11,27,1,30
157,11,27,1,35
167,11,27,1,40
160,11,27,1,45
144,11,27,1,50
168,11,27,1,55
151,11,27,2,0
141,11,27,2,5
157,11,27,2,10
164,11,27,2,15
165,11,27,2,20
124,11,27,2,25
163,11,27,2,30
122,11,27,2,35
147,11,27,2,40
143,11,27,2,45
131,11,27,2,50
149,11,27,2,55
154,11,27,3,0
149,11,27,3,5
145,11,27,3,10
150,11,27,3,15
146,11,27,3,20
164,11,27,3,25
157,11,27,3,30
163,11,27,3,35
145,11,27,3,40
156,11,27,3,45
158,11,27,3,50
165,11,27,3,55
147,11,27,4,0
145,11,27,4,5
140,11,27,4,10
145,11,27,4,15
151,11,27,4,20
140,11,27,4,25
124,11,27,4,30
132,11,27,4,35
111,11,27,4,40
123,11,27,4,45
120,11,27,4,50
107,11,27,4,55
130,11,27,5,0
111,11,27,5,5
115,11,27,5,10
127,11,27,5,15
115,11,27,5,20
115,11,27,5,25
106,11,27,5,30
101,11,27,5,35
112,11,27,5,40
106,11,27,5,45
91,11,27,5,50
93,11,27,5,55
110,11,27,6,0
100,11,27,6,5
84,11,27,6,10
94,11,27,6,15
75,11,27,6,20
85,11,27,6,25
101,11,27,6,30
76,11,27,6,35
93,11,27,6,40
81,11,27,6,45
87,11,27,6,50
65,11,27,6,55
78,11,27,7,0
67,11,27,7,5
57,11,27,7,10
67,11,27,7,15
