,bday,bio,country,isFam,isPol,midname,money,name,profession,surname
0,1956-10-01,"Theresa Mary May (</span>/</span></span>; née Brasier; born 1 October 1956) is a British politician serving as Prime Minister of the United Kingdom and Leader of the Conservative Party since 2016. She served as Home Secretary from 2010 to 2016. May was first elected Member of Parliament (MP) for Maidenhead in 1997. Ideologically, she identifies herself as a one-nation conservative.
",UNITED KINGDOM,1,1,Mary,0.0,Theresa,,May
1,1986-06-03,"Rafael Nadal Parera (, ; born 3 June 1986) is a Spanish professional tennis player, currently world No. 2 in men's singles tennis by the Association of Tennis Professionals (ATP).
",SPAIN,1,0,Parera,0.0,Rafael,,Nadal
2,NA,NA,,0,1,NA,NA,Victor,NA,Allamand
3,1939-04-07,"Francis Ford Coppola (</span>/</span></span>; born April 7, 1939) is an American film director, producer, screenwriter and film composer. He was a central figure in the New Hollywood wave of filmmaking.
",UNITED STATES,1,0,Ford,0.0,Francis,"Film director, screenwriter, film producer, film composer",Coppola
4,1936-09-29,"Silvio Berlusconi (; born 29 September 1936) is an Italian media tycoon and politician who has served as Prime Minister of Italy in four governments.
",ITALY,1,1,,6600.0,Silvio,Founder & Owner of FininvestOwner of S.S. Monza 1912,Berlusconi
5,NA,NA,,1,1,NA,NA,Abe,NA,Shinzo
6,1964-01-07,"Nicolas Kim Coppola (born January 7, 1964), known professionally as Nicolas Cage, is an American actor, director and producer. During his early career, Cage starred in a variety of films such as Valley Girl (1983), Racing with the Moon (1984), Birdy (1984), Peggy Sue Got Married (1986), Raising Arizona (1987), Moonstruck (1987), Vampire's Kiss (1989), Wild at Heart (1990), Fire Birds (1990), Honeymoon in Vegas (1992), and Red Rock West (1993).
",UNITED STATES,1,0,,0.0,Nicolas,"Actor, director, producer",Cage
7,1926-08-13,"Fidel Alejandro Castro Ruz (; 13 August 1926 – 25 November 2016) was a Cuban communist revolutionary and politician who governed the Republic of Cuba as Prime Minister from 1959 to 1976 and then as President from 1976 to 2008. A Marxist–Leninist and Cuban nationalist, Castro also served as the First Secretary of the Communist Party of Cuba from 1961 until 2011. Under his administration, Cuba became a one-party communist state, while industry and business were nationalized and state socialist reforms were implemented throughout society.
",CUBA,1,1,Alejandro  Ruz,0.0,Fidel,Lawyer,Castro
8,1966-04-22,"Jeffrey Dean Morgan (born April 22, 1966) is an American actor. He is known for his roles as John Winchester on the fantasy horror series Supernatural (2005–07), Denny Duquette on the medical drama series Grey's Anatomy (2006–09), The Comedian in the superhero film Watchmen (2009), Jason Crouse on the political drama series The Good Wife (2015–16), Negan on the horror drama series The Walking Dead (2016–present), and Harvey Russell in Rampage (2018).
",UNITED STATES,1,0,Dean,0.0,Jeffrey,Actor,Morgan
9,1961-05-06,"George Timothy Clooney (born May 6, 1961) is an American actor, filmmaker and businessman. He is the recipient of three Golden Globe Awards and two Academy Awards, one for acting in Syriana (2006) and the other for co-producing Argo (2012). In 2018, he was the recipient of the AFI Live Achievement Award, at the age of 57.
",UNITED STATES,1,0,Timothy,0.0,George,"Actor, screenwriter, producer with Smoke House Pictures, director",Clooney
10,1960-08-17,"Sean Justin Penn (born August 17, 1960) is an American actor and filmmaker. He has won two Academy Awards, for his roles in the mystery drama Mystic River (2003) and the biopic Milk (2008).
",UNITED STATES,1,0,Justin,0.0,Sean,"Actor, filmmaker",Penn
11,NA,NA,,0,1,NA,NA,Maria,NA,Lopes
12,1947-09-21,"Stephen Edwin King (born September 21, 1947) is an American author of horror, supernatural fiction, suspense, science fiction and fantasy. His books have sold more than 350 million copies, many of which have been adapted into feature films, miniseries, television series, and comic books. King has published 58 novels, including seven under the pen name Richard Bachman, and six non-fiction books. He has written around 200 short stories, most of which have been published in book collections.
",UNITED STATES,1,0,Edwin,0.0,Stephen,"Writer, actor, television producer, singer, musician",King
13,1955-03-19,"Walter Bruce Willis (born March 19, 1955) is an American actor, producer, and singer. Born to a German mother and American father in Idar-Oberstein, Germany, he moved to the United States with his family in 1957. His career began on the Off-Broadway stage in the 1970s. He later achieved fame with his leading role on the hit television series Moonlighting (1985–89). He has since appeared in over 70 films and is widely regarded as an ""action hero"" due to his portrayal of John McClane in the Die Hard franchise (1988–2013), and other such roles.
",UNITED STATES,1,0,Walter,0.0,Bruce,"Actor, producer with Cheyenne Enterprises, singer",Willis
14,NA,NA,,0,0,NA,NA,Ornella,NA,Di Pietro
15,1966-10-09,"David William Donald Cameron (born 9 October 1966) is a British politician who served as Prime Minister of the United Kingdom from 2010 to 2016 and Leader of the Conservative Party from 2005 to 2016. He was Member of Parliament (MP) for Witney from 2001 to 2016. He identifies as a one-nation conservative, and has been associated with both economically liberal and socially liberal policies.
",UNITED KINGDOM,1,1,William Donald,0.0,David,,Cameron
16,1989-07-23,"Daniel Jacob Radcliffe (born 23 July 1989) is an English actor and producer best known for his role as the titular protagonist in the Harry Potter film series, based on the novels by J. K. Rowling.
",UNITED KINGDOM,1,0,Jacob,0.0,Daniel,"Actor, producer",Radcliffe
17,1972-09-27,"Gwyneth Paltrow (</span>/</span></span>; born September 27, 1972) is an American actress, businesswoman, socialite, lifestyle guru, singer, and food writer. She has won various accolades, including an Academy Award, a Golden Globe Award, a Primetime Emmy Award and two Screen Actors Guild Awards.
",UNITED STATES,1,0,,0.0,Gwyneth,"Actress, singer, writer",Paltrow
18,NA,NA,,0,0,NA,NA,Celine,NA,Exquis
19,1945-03-23,"Francesco ""Franco"" Battiato (; born 23 March 1945, Ionia, Sicily) is an Italian singer-songwriter, composer, filmmaker and, under the pseudonym Süphan Barzani, also a painter. Battiato's songs contain esoteric, philosophical and religious themes.
",ITALY,1,0,"Francesco """"",0.0,Franco,,Battiato
20,NA,NA,,0,0,NA,NA,Graciela,NA,Bermudez
21,1974-11-11,"Leonardo Wilhelm DiCaprio (</span>/</span></span>; born November 11, 1974) is an American actor, film producer, and environmentalist. DiCaprio began his career by appearing in television commercials in the late 1980s. He next had recurring roles in various television series, such as the soap opera Santa Barbara and the sitcom Growing Pains.
",UNITED STATES,1,0,Wilhelm,0.0,Leonardo,"Actor, Appian Way Productions",DiCaprio
22,NA,NA,,0,0,NA,NA,Corinne,NA,Bonvin
23,No date found... sorry,"Suresh Singh Rawat is an Indian politician from the Bharatiya Janata Party and a  member of the Rajasthan Legislative Assembly representing the Pushkar Vidhan Sabha constituency of Rajasthan.
",INDIA,0,0,Singh,0.0,Suresh,Politician,Rawat
24,1974-07-30,"Hilary Ann Swank (born July 30, 1974) is an American actress and producer. She has received two Academy Awards, two Golden Globe Awards, two Critics Choice Awards, and a Screen Actors Guild Award.
",UNITED STATES,1,0,Ann,0.0,Hilary,"Actress, producer",Swank
25,NA,NA,,0,1,NA,NA,Benedetta,NA,Rossi
26,1963-12-18,"William Bradley Pitt (born December 18, 1963) is an American actor and film producer. He has received multiple awards and nominations including an Academy Award as producer under his own company Plan B Entertainment.
",UNITED STATES,1,0,William ley,0.0,Brad,"Actor, film producer",Pitt
27,NA,NA,,0,0,NA,NA,Anne,NA,Bottani
28,NA,NA,,0,0,NA,NA,Lewis,NA,Armitage
29,1893-12-26,"Mao Zedong (December 26, 1893 – September 9, 1976), also known as Chairman Mao, was a Chinese communist revolutionary who became the founding father of the People's Republic of China, which he ruled as the Chairman of the Communist Party of China from its establishment in 1949 until his death in 1976. His theories, military strategies, and political policies are collectively known as Maoism.
",CHINA,1,1,,0.0,Mao,,Zedong
30,1972-08-15,"Benjamin Géza Affleck-Boldt (born August 15, 1972) is an American actor and filmmaker. His accolades include two Academy Awards, three Golden Globe Awards, two BAFTA Awards, and two Screen Actors Guild Awards. He began his career as a child and starred in the PBS educational series The Voyage of the Mimi in 1984, before a second run in 1988. He later appeared in the independent coming-of-age comedy Dazed and Confused (1993) and various Kevin Smith films, including Chasing Amy (1997) and Dogma (1999). Affleck gained wider recognition when he and childhood friend Matt Damon won the Golden Globe and Academy Award for Best Original Screenplay for writing Good Will Hunting (1997), which they also starred in. He then established himself as a leading man in studio films, including the disaster drama Armageddon (1998), the romantic comedy Forces of Nature (1999), the war drama Pearl Harbor (2001), and the spy thriller The Sum of All Fears (2002).
",UNITED STATES,1,0,jamin Géza -Boldt,0.0,Ben,"Actor, filmmaker",Affleck
31,1971-05-14,"Sofia Carmina Coppola (</span>/</span></span>; born May 14, 1971) is an American screenwriter, director, producer, and former actress.
",UNITED STATES,1,0,Carmina,0.0,Sofia,"Director, producer, screenwriter, actress",Coppola
32,NA,NA,,0,0,NA,NA,Daria,NA,Arkhipova
33,1969-11-10,"Ellen Kathleen Pompeo (born November 10, 1969) is an American actress, director, and producer. She is one of the highest paid television actors, having signed a $20 million annual contract with the American Broadcasting Company in late 2017. She was honored with the 2007 Special Achievement in Entertaining by the National Italian American Foundation for her contributions to the entertainment industry.
",UNITED STATES,1,0,Kathleen,0.0,Ellen,"Actress, director, producer",Pompeo
34,1982-07-24,"Anna Helene Paquin (</span>/</span></span> <i title=""English pronunciation respelling"">-win; born 24 July 1982) is a New Zealand-Canadian-American  actress. She was born in Manitoba and brought up in Wellington, New Zealand, before moving to Los Angeles during her youth. She completed a year at Columbia University before leaving to focus on her acting career. As a child, she played the role of Flora McGrath in Jane Campion's romantic drama film The Piano (1993), despite having had little acting experience. For her performance, she received the Academy Award for Best Supporting Actress at the age of 11, making her the second-youngest winner in Oscar history.
",UNITED KINGDOM,1,0,Helene,0.0,Anna,Actress,Paquin
